,ori,data_year,offense,state_abbr,cleared,actual
0,OR0010000,2009,aggravated-assault,OR,0,1
1,OR0010000,2010,aggravated-assault,OR,0,0
2,OR0010000,2011,aggravated-assault,OR,0,0
3,OR0010000,2012,aggravated-assault,OR,0,0
4,OR0010000,2013,aggravated-assault,OR,1,2
5,OR0010000,2014,aggravated-assault,OR,5,12
6,OR0010000,2015,aggravated-assault,OR,5,7
7,OR0010000,2016,aggravated-assault,OR,1,2
8,OR0010100,2009,aggravated-assault,OR,0,3
9,OR0010100,2010,aggravated-assault,OR,0,2
10,OR0010100,2011,aggravated-assault,OR,0,1
11,OR0010100,2012,aggravated-assault,OR,0,0
12,OR0010100,2013,aggravated-assault,OR,19,24
13,OR0010100,2014,aggravated-assault,OR,34,56
14,OR0010100,2015,aggravated-assault,OR,8,11
15,OR0010100,2016,aggravated-assault,OR,2,3
16,OR001070X,2009,aggravated-assault,OR,0,0
17,OR001070X,2010,aggravated-assault,OR,0,0
18,OR001070X,2011,aggravated-assault,OR,0,0
19,OR001070X,2012,aggravated-assault,OR,0,0
20,MD0010000,2009,aggravated-assault,MD,0,0
21,MD0010000,2010,aggravated-assault,MD,0,0
22,MD0010000,2011,aggravated-assault,MD,16,21
23,MD0010000,2012,aggravated-assault,MD,36,41
24,MD0010000,2013,aggravated-assault,MD,28,30
25,MD0010000,2014,aggravated-assault,MD,16,23
26,MD0010000,2015,aggravated-assault,MD,16,17
27,MD0010000,2016,aggravated-assault,MD,11,12
28,MD0010200,2009,aggravated-assault,MD,135,166
29,MD0010200,2010,aggravated-assault,MD,114,138
30,MD0010200,2011,aggravated-assault,MD,93,95
31,MD0010200,2012,aggravated-assault,MD,105,124
32,MD0010200,2013,aggravated-assault,MD,94,95
33,MD0010200,2014,aggravated-assault,MD,101,115
34,MD0010200,2015,aggravated-assault,MD,85,90
35,MD0010200,2016,aggravated-assault,MD,99,110
36,MD0010300,2009,aggravated-assault,MD,9,12
