,ori,data_year,offense,state_abbr,cleared,actual
0,HI0010000,2009,aggravated-assault,HI,0,330
1,HI0010000,2010,aggravated-assault,HI,0,347
2,HI0010000,2011,aggravated-assault,HI,0,363
3,HI0010000,2012,aggravated-assault,HI,191,301
4,HI0010000,2013,aggravated-assault,HI,261,394
5,HI0010000,2014,aggravated-assault,HI,205,273
6,HI0010000,2015,aggravated-assault,HI,157,244
7,HI0010000,2016,aggravated-assault,HI,192,274
8,HI0020000,2009,aggravated-assault,HI,0,1411
9,HI0020000,2010,aggravated-assault,HI,0,1420
10,HI0020000,2011,aggravated-assault,HI,304,1332
11,HI0020000,2012,aggravated-assault,HI,656,1246
12,HI0020000,2013,aggravated-assault,HI,336,642
13,HI0020000,2014,aggravated-assault,HI,186,373
14,HI0020000,2015,aggravated-assault,HI,519,1208
15,HI0020000,2016,aggravated-assault,HI,502,1159
16,HI0040000,2009,aggravated-assault,HI,118,156
17,HI0040000,2010,aggravated-assault,HI,101,186
18,HI0040000,2011,aggravated-assault,HI,121,176
19,HI0040000,2012,aggravated-assault,HI,95,159
20,ID0010000,2009,aggravated-assault,ID,100,122
21,ID0010000,2010,aggravated-assault,ID,92,98
22,ID0010000,2011,aggravated-assault,ID,94,102
23,ID0010000,2012,aggravated-assault,ID,74,107
24,ID0010000,2013,aggravated-assault,ID,101,135
25,ID0010000,2014,aggravated-assault,ID,114,119
26,ID0010000,2015,aggravated-assault,ID,122,143
27,ID0010000,2016,aggravated-assault,ID,98,136
28,ID0010100,2009,aggravated-assault,ID,252,446
29,ID0010100,2010,aggravated-assault,ID,265,390
30,ID0010100,2011,aggravated-assault,ID,250,385
31,ID0010100,2012,aggravated-assault,ID,254,429
32,ID0010100,2013,aggravated-assault,ID,213,387
33,ID0010100,2014,aggravated-assault,ID,270,444
34,ID0010100,2015,aggravated-assault,ID,300,479
35,ID0010100,2016,aggravated-assault,ID,258,457
36,ID0010200,2009,aggravated-assault,ID,29,40
37,ID0010200,2010,aggravated-assault,ID,19,24
38,ID0010200,2011,aggravated-assault,ID,38,41
39,ID0010200,2012,aggravated-assault,ID,34,42
40,IL0010000,2009,aggravated-assault,IL,0,0
41,IL0010000,2010,aggravated-assault,IL,0,19
42,IL0010000,2011,aggravated-assault,IL,0,18
43,IL0010000,2012,aggravated-assault,IL,0,15
44,IL0010000,2013,aggravated-assault,IL,0,22
45,IL0010000,2014,aggravated-assault,IL,0,22
46,IL0010000,2015,aggravated-assault,IL,0,14
47,IL0010000,2016,aggravated-assault,IL,0,13
48,IL0010100,2009,aggravated-assault,IL,0,0
49,IL0010100,2010,aggravated-assault,IL,0,0
50,IL0010100,2011,aggravated-assault,IL,0,0
51,IL0010100,2012,aggravated-assault,IL,0,0
52,IL0010100,2013,aggravated-assault,IL,0,0
53,IL0010100,2014,aggravated-assault,IL,0,0
54,IL0010100,2015,aggravated-assault,IL,0,0
55,IL0010100,2016,aggravated-assault,IL,0,0
56,IL0010300,2009,aggravated-assault,IL,0,161
57,IL0010300,2010,aggravated-assault,IL,0,132
58,IL0010300,2011,aggravated-assault,IL,0,148
59,IL0010300,2012,aggravated-assault,IL,0,145
60,IN0010000,2009,aggravated-assault,IN,0,0
61,IN0010000,2010,aggravated-assault,IN,0,0
62,IN0010000,2011,aggravated-assault,IN,0,0
63,IN0010000,2012,aggravated-assault,IN,0,0
64,IN0010000,2013,aggravated-assault,IN,0,0
65,IN0010000,2014,aggravated-assault,IN,0,0
66,IN0010000,2015,aggravated-assault,IN,0,0
67,IN0010000,2016,aggravated-assault,IN,0,0
68,IN0010100,2009,aggravated-assault,IN,0,0
69,IN0010100,2010,aggravated-assault,IN,0,4
70,IN0010100,2011,aggravated-assault,IN,0,1
71,IN0010100,2012,aggravated-assault,IN,0,0
72,IN0010100,2013,aggravated-assault,IN,1,1
73,IN0010100,2014,aggravated-assault,IN,0,0
74,IN0010100,2015,aggravated-assault,IN,1,3
75,IN0010100,2016,aggravated-assault,IN,0,0
76,IN0010200,2009,aggravated-assault,IN,6,6
77,IN0010200,2010,aggravated-assault,IN,2,2
78,IN0010200,2011,aggravated-assault,IN,7,8
79,IN0010200,2012,aggravated-assault,IN,5,5
80,IA0010000,2009,aggravated-assault,IA,0,1
81,IA0010000,2010,aggravated-assault,IA,2,5
82,IA0010000,2011,aggravated-assault,IA,2,5
83,IA0010000,2012,aggravated-assault,IA,0,5
84,IA0010000,2013,aggravated-assault,IA,0,1
85,IA0010000,2014,aggravated-assault,IA,1,5
86,IA0010000,2015,aggravated-assault,IA,2,7
87,IA0010000,2016,aggravated-assault,IA,5,6
88,IA0020000,2009,aggravated-assault,IA,17,20
89,IA0020000,2010,aggravated-assault,IA,23,23
90,IA0020000,2011,aggravated-assault,IA,9,12
91,IA0020000,2012,aggravated-assault,IA,14,14
92,IA0020000,2013,aggravated-assault,IA,4,5
93,IA0020000,2014,aggravated-assault,IA,3,4
94,IA0020000,2015,aggravated-assault,IA,2,6
95,IA0020000,2016,aggravated-assault,IA,0,0
96,IA0030000,2009,aggravated-assault,IA,0,0
97,IA0030000,2010,aggravated-assault,IA,0,0
98,IA0030000,2011,aggravated-assault,IA,0,0
99,IA0030000,2012,aggravated-assault,IA,0,0
100,KS0010000,2009,aggravated-assault,KS,7,10
101,KS0010000,2010,aggravated-assault,KS,12,14
102,KS0010000,2011,aggravated-assault,KS,3,9
103,KS0010000,2012,aggravated-assault,KS,2,3
104,KS0010000,2013,aggravated-assault,KS,0,2
105,KS0010000,2014,aggravated-assault,KS,7,10
106,KS0010000,2015,aggravated-assault,KS,3,9
107,KS0010000,2016,aggravated-assault,KS,7,14
108,KS0010100,2009,aggravated-assault,KS,0,0
109,KS0010100,2010,aggravated-assault,KS,1,1
110,KS0010100,2011,aggravated-assault,KS,1,1
111,KS0010100,2012,aggravated-assault,KS,0,0
112,KS0010100,2013,aggravated-assault,KS,0,0
113,KS0010100,2014,aggravated-assault,KS,1,1
114,KS0010100,2015,aggravated-assault,KS,0,0
115,KS0010100,2016,aggravated-assault,KS,0,0
116,KS0010200,2009,aggravated-assault,KS,15,17
117,KS0010200,2010,aggravated-assault,KS,5,12
118,KS0010200,2011,aggravated-assault,KS,17,25
119,KS0010200,2012,aggravated-assault,KS,10,22
120,KY0010000,2009,aggravated-assault,KY,2,3
121,KY0010000,2010,aggravated-assault,KY,1,1
122,KY0010000,2011,aggravated-assault,KY,3,4
123,KY0010000,2012,aggravated-assault,KY,5,8
124,KY0010000,2013,aggravated-assault,KY,2,2
125,KY0010000,2014,aggravated-assault,KY,0,1
126,KY0010000,2015,aggravated-assault,KY,0,0
127,KY0010000,2016,aggravated-assault,KY,0,0
128,KY0010100,2009,aggravated-assault,KY,0,1
129,KY0010100,2010,aggravated-assault,KY,0,0
130,KY0010100,2011,aggravated-assault,KY,1,1
131,KY0010100,2012,aggravated-assault,KY,0,0
132,KY0010100,2013,aggravated-assault,KY,3,4
133,KY0010100,2014,aggravated-assault,KY,2,2
134,KY0010100,2015,aggravated-assault,KY,0,2
135,KY0010100,2016,aggravated-assault,KY,3,3
136,KY0010300,2009,aggravated-assault,KY,0,0
137,KY0010300,2010,aggravated-assault,KY,0,0
138,KY0010300,2011,aggravated-assault,KY,0,0
139,KY0010300,2012,aggravated-assault,KY,0,0
140,LA0010000,2009,aggravated-assault,LA,67,102
141,LA0010000,2010,aggravated-assault,LA,0,0
142,LA0010000,2011,aggravated-assault,LA,55,93
143,LA0010000,2012,aggravated-assault,LA,0,0
144,LA0010000,2013,aggravated-assault,LA,3,38
145,LA0010000,2014,aggravated-assault,LA,25,52
146,LA0010000,2015,aggravated-assault,LA,22,46
147,LA0010000,2016,aggravated-assault,LA,25,80
148,LA0010100,2009,aggravated-assault,LA,31,57
149,LA0010100,2010,aggravated-assault,LA,0,92
