,ori,data_year,offense,state_abbr,cleared,actual
0,AL0010000,2009,aggravated-assault,AL,45,244
1,AL0010000,2010,aggravated-assault,AL,23,184
2,AL0010000,2011,aggravated-assault,AL,160,352
3,AL0010000,2012,aggravated-assault,AL,218,427
4,AL0010000,2013,aggravated-assault,AL,208,436
5,AL0010000,2014,aggravated-assault,AL,185,440
6,AL0010000,2015,aggravated-assault,AL,181,484
7,AL0010000,2016,aggravated-assault,AL,170,467
8,AL0010100,2009,aggravated-assault,AL,49,325
9,AL0010100,2010,aggravated-assault,AL,38,183
10,AL0010100,2011,aggravated-assault,AL,60,305
11,AL0010100,2012,aggravated-assault,AL,62,394
12,AL0010100,2013,aggravated-assault,AL,34,348
13,AL0010100,2014,aggravated-assault,AL,21,248
14,AL0010100,2015,aggravated-assault,AL,8,336
15,AL0010100,2016,aggravated-assault,AL,5,604
16,AL0010200,2009,aggravated-assault,AL,0,1399
17,AL0010200,2010,aggravated-assault,AL,0,826
18,AL0010200,2011,aggravated-assault,AL,0,1916
19,AL0010200,2012,aggravated-assault,AL,0,2035
20,AK0015600,2009,aggravated-assault,AK,32,64
21,AK0015600,2010,aggravated-assault,AK,25,52
22,AK0015600,2011,aggravated-assault,AK,16,34
23,AK0015600,2012,aggravated-assault,AK,25,35
24,AK0015600,2013,aggravated-assault,AK,14,31
25,AK0015600,2014,aggravated-assault,AK,20,46
26,AK0015600,2015,aggravated-assault,AK,14,29
27,AK0015600,2016,aggravated-assault,AK,22,46
28,AKAST0100,2014,aggravated-assault,AK,633,795
29,AKAST0100,2015,aggravated-assault,AK,571,776
30,AKAST0100,2016,aggravated-assault,AK,621,874
31,AK0010100,2009,aggravated-assault,AK,1134,1658
32,AK0010100,2010,aggravated-assault,AK,1129,1701
33,AK0010100,2011,aggravated-assault,AK,1003,1628
34,AK0010100,2012,aggravated-assault,AK,1107,1673
35,AK0010100,2013,aggravated-assault,AK,961,1491
36,AK0010100,2014,aggravated-assault,AK,1035,1705
37,AK0010100,2015,aggravated-assault,AK,1142,2062
38,AK0010100,2016,aggravated-assault,AK,1208,2157
39,AK0010200,2009,aggravated-assault,AK,57,163
40,AZ0010000,2009,aggravated-assault,AZ,21,23
41,AZ0010000,2010,aggravated-assault,AZ,10,16
42,AZ0010000,2011,aggravated-assault,AZ,36,43
43,AZ0010000,2012,aggravated-assault,AZ,28,50
44,AZ0010000,2013,aggravated-assault,AZ,34,48
45,AZ0010000,2014,aggravated-assault,AZ,41,56
46,AZ0010000,2015,aggravated-assault,AZ,16,19
47,AZ0010000,2016,aggravated-assault,AZ,27,34
48,AZ0010100,2009,aggravated-assault,AZ,5,8
49,AZ0010100,2010,aggravated-assault,AZ,7,9
50,AZ0010100,2011,aggravated-assault,AZ,5,6
51,AZ0010100,2012,aggravated-assault,AZ,3,3
52,AZ0010100,2013,aggravated-assault,AZ,13,14
53,AZ0010100,2014,aggravated-assault,AZ,5,5
54,AZ0010100,2015,aggravated-assault,AZ,4,7
55,AZ0010100,2016,aggravated-assault,AZ,2,6
56,AZ0010300,2009,aggravated-assault,AZ,0,0
57,AZ0010300,2010,aggravated-assault,AZ,1,2
58,AZ0010300,2011,aggravated-assault,AZ,0,0
59,AZ0010300,2012,aggravated-assault,AZ,0,0
60,ARASP0000,2009,aggravated-assault,AR,0,0
61,ARASP0000,2010,aggravated-assault,AR,0,0
62,ARASP0000,2011,aggravated-assault,AR,0,0
63,ARASP0000,2012,aggravated-assault,AR,0,0
64,ARASP0000,2013,aggravated-assault,AR,0,0
65,ARASP0000,2014,aggravated-assault,AR,0,0
66,ARASP0000,2015,aggravated-assault,AR,0,0
67,ARASP0000,2016,aggravated-assault,AR,0,0
68,AR0010000,2009,aggravated-assault,AR,2,5
69,AR0010000,2010,aggravated-assault,AR,2,6
70,AR0010000,2011,aggravated-assault,AR,4,5
71,AR0010000,2012,aggravated-assault,AR,5,9
72,AR0010000,2013,aggravated-assault,AR,2,12
73,AR0010000,2014,aggravated-assault,AR,0,5
74,AR0010000,2015,aggravated-assault,AR,1,7
75,AR0010000,2016,aggravated-assault,AR,3,7
76,AR0010100,2009,aggravated-assault,AR,1,13
77,AR0010100,2010,aggravated-assault,AR,3,8
78,AR0010100,2011,aggravated-assault,AR,13,22
79,AR0010100,2012,aggravated-assault,AR,8,14
80,CA0010000,2009,aggravated-assault,CA,205,346
81,CA0010000,2010,aggravated-assault,CA,262,437
82,CA0010000,2011,aggravated-assault,CA,313,478
83,CA0010000,2012,aggravated-assault,CA,279,417
84,CA0010000,2013,aggravated-assault,CA,299,428
85,CA0010000,2014,aggravated-assault,CA,247,378
86,CA0010000,2015,aggravated-assault,CA,187,314
87,CA0010000,2016,aggravated-assault,CA,206,347
88,CA0010100,2009,aggravated-assault,CA,80,95
89,CA0010100,2010,aggravated-assault,CA,66,83
90,CA0010100,2011,aggravated-assault,CA,72,97
91,CA0010100,2012,aggravated-assault,CA,58,70
92,CA0010100,2013,aggravated-assault,CA,49,63
93,CA0010100,2014,aggravated-assault,CA,59,73
94,CA0010100,2015,aggravated-assault,CA,53,78
95,CA0010100,2016,aggravated-assault,CA,66,74
96,CA0010200,2009,aggravated-assault,CA,7,8
97,CA0010200,2010,aggravated-assault,CA,6,8
98,CA0010200,2011,aggravated-assault,CA,2,7
99,CA0010200,2012,aggravated-assault,CA,3,7
100,CO0010000,2009,aggravated-assault,CO,167,286
101,CO0010000,2010,aggravated-assault,CO,199,338
102,CO0010000,2011,aggravated-assault,CO,159,267
103,CO0010000,2012,aggravated-assault,CO,162,287
104,CO0010000,2013,aggravated-assault,CO,152,273
105,CO0010000,2014,aggravated-assault,CO,168,318
106,CO0010000,2015,aggravated-assault,CO,195,309
107,CO0010000,2016,aggravated-assault,CO,181,325
108,CO0010100,2009,aggravated-assault,CO,438,734
109,CO0010100,2010,aggravated-assault,CO,429,737
110,CO0010100,2011,aggravated-assault,CO,427,754
111,CO0010100,2012,aggravated-assault,CO,427,729
112,CO0010100,2013,aggravated-assault,CO,448,716
113,CO0010100,2014,aggravated-assault,CO,396,734
114,CO0010100,2015,aggravated-assault,CO,447,836
115,CO0010100,2016,aggravated-assault,CO,566,1049
116,CO0010200,2009,aggravated-assault,CO,39,60
117,CO0010200,2010,aggravated-assault,CO,29,50
118,CO0010200,2011,aggravated-assault,CO,40,67
119,CO0010200,2012,aggravated-assault,CO,56,80
120,CT0000200,2009,aggravated-assault,CT,4,8
121,CT0000200,2010,aggravated-assault,CT,5,8
122,CT0000200,2011,aggravated-assault,CT,2,7
123,CT0000200,2012,aggravated-assault,CT,5,10
124,CT0000200,2013,aggravated-assault,CT,4,12
125,CT0000200,2014,aggravated-assault,CT,8,14
126,CT0000200,2015,aggravated-assault,CT,8,8
127,CT0000200,2016,aggravated-assault,CT,8,13
128,CT0000400,2009,aggravated-assault,CT,2,2
129,CT0000400,2010,aggravated-assault,CT,1,4
130,CT0000400,2011,aggravated-assault,CT,0,0
131,CT0000400,2012,aggravated-assault,CT,1,1
132,CT0000400,2013,aggravated-assault,CT,1,1
133,CT0000400,2014,aggravated-assault,CT,1,1
134,CT0000400,2015,aggravated-assault,CT,0,0
135,CT0000400,2016,aggravated-assault,CT,0,0
136,CT0000700,2009,aggravated-assault,CT,6,7
137,CT0000700,2010,aggravated-assault,CT,11,13
138,CT0000700,2011,aggravated-assault,CT,9,8
139,CT0000700,2012,aggravated-assault,CT,10,16
140,DE0010100,2009,aggravated-assault,DE,154,196
141,DE0010100,2010,aggravated-assault,DE,129,173
142,DE0010100,2011,aggravated-assault,DE,153,221
143,DE0010100,2012,aggravated-assault,DE,155,206
144,DE0010100,2013,aggravated-assault,DE,151,189
145,DE0010100,2014,aggravated-assault,DE,129,161
146,DE0010100,2015,aggravated-assault,DE,161,214
147,DE0010100,2016,aggravated-assault,DE,163,237
148,DE0010200,2009,aggravated-assault,DE,27,31
149,DE0010200,2010,aggravated-assault,DE,13,15
150,DE0010200,2011,aggravated-assault,DE,21,22
151,DE0010200,2012,aggravated-assault,DE,21,26
152,DE0010200,2013,aggravated-assault,DE,14,15
153,DE0010200,2014,aggravated-assault,DE,10,13
154,DE0010200,2015,aggravated-assault,DE,22,26
155,DE0010200,2016,aggravated-assault,DE,19,24
156,DE0010300,2009,aggravated-assault,DE,29,36
157,DE0010300,2010,aggravated-assault,DE,27,32
158,DE0010300,2011,aggravated-assault,DE,40,49
159,DE0010300,2012,aggravated-assault,DE,15,22
160,FL0010000,2009,aggravated-assault,FL,312,608
161,FL0010000,2010,aggravated-assault,FL,327,475
162,FL0010000,2011,aggravated-assault,FL,329,458
163,FL0010000,2012,aggravated-assault,FL,315,454
164,FL0010000,2013,aggravated-assault,FL,311,411
165,FL0010000,2014,aggravated-assault,FL,292,443
166,FL0010000,2015,aggravated-assault,FL,266,408
167,FL0010000,2016,aggravated-assault,FL,232,381
168,FL0010100,2009,aggravated-assault,FL,594,819
169,FL0010100,2010,aggravated-assault,FL,460,617
170,FL0010100,2011,aggravated-assault,FL,456,640
171,FL0010100,2012,aggravated-assault,FL,451,600
172,FL0010100,2013,aggravated-assault,FL,399,583
173,FL0010100,2014,aggravated-assault,FL,398,563
174,FL0010100,2015,aggravated-assault,FL,388,586
175,FL0010100,2016,aggravated-assault,FL,335,536
176,FL0010400,2009,aggravated-assault,FL,15,23
177,FL0010400,2010,aggravated-assault,FL,14,19
178,FL0010400,2011,aggravated-assault,FL,5,14
179,FL0010400,2012,aggravated-assault,FL,13,21
180,GA0010000,2009,aggravated-assault,GA,1,1
181,GA0010000,2010,aggravated-assault,GA,0,0
182,GA0010000,2011,aggravated-assault,GA,7,20
183,GA0010000,2012,aggravated-assault,GA,2,16
184,GA0010000,2013,aggravated-assault,GA,2,3
185,GA0010000,2014,aggravated-assault,GA,0,0
186,GA0010000,2015,aggravated-assault,GA,0,0
187,GA0010000,2016,aggravated-assault,GA,7,18
188,GA0010100,2009,aggravated-assault,GA,14,17
189,GA0010100,2010,aggravated-assault,GA,0,20
190,GA0010100,2011,aggravated-assault,GA,8,10
191,GA0010100,2012,aggravated-assault,GA,6,7
192,GA0010100,2013,aggravated-assault,GA,12,13
193,GA0010100,2014,aggravated-assault,GA,7,8
194,GA0010100,2015,aggravated-assault,GA,14,17
195,GA0010100,2016,aggravated-assault,GA,30,33
196,GA0010400,2014,aggravated-assault,GA,0,0
197,GA0010400,2015,aggravated-assault,GA,0,0
198,GA0010400,2016,aggravated-assault,GA,0,0
199,GA0020000,2009,aggravated-assault,GA,0,0
200,AL0010000,2009,burglary,AL,95,2334
