Year,Interest Rate
1991,100.0
1992,61.9
1993,53.1
1994,74.0
1995,102.6
1996,93.2
1997,96.1
1998,94.1
1999,87.5
2000,109.7
2001,68.2
2002,29.3
2003,19.8
2004,23.8
2005,56.6
2006,87.3
2007,88.3
2008,33.8
2009,2.8
2010,3.1
2011,1.8
2012,2.5
2013,1.9
2014,1.6
2015,2.4
2016,6.9
