Home Prices,Household Income,Crime Rate,Annual Temperature
100.00,100.00,100.00,100.00
99.75,99.13,105.93,105.00
98.22,100.84,104.18,104.44
99.04,94.95,96.29,106.11
99.63,99.50,85.39,102.41
101.36,108.15,80.78,100.74
103.38,115.51,69.31,105.00
103.76,122.35,75.29,105.93
