,ori,data_year,offense,state_abbr,cleared,actual
0,NB0010000,2009,aggravated-assault,NE,2,2
1,NB0010000,2010,aggravated-assault,NE,2,2
2,NB0010000,2011,aggravated-assault,NE,1,2
3,NB0010000,2012,aggravated-assault,NE,1,1
4,NB0010000,2013,aggravated-assault,NE,0,2
5,NB0010000,2014,aggravated-assault,NE,0,3
6,NB0010000,2015,aggravated-assault,NE,0,2
7,NB0010000,2016,aggravated-assault,NE,2,3
8,NB0010100,2009,aggravated-assault,NE,17,31
9,NB0010100,2010,aggravated-assault,NE,8,16
10,NB0010100,2011,aggravated-assault,NE,13,24
11,NB0010100,2012,aggravated-assault,NE,14,23
12,NB0010100,2013,aggravated-assault,NE,16,27
13,NB0010100,2014,aggravated-assault,NE,28,41
14,NB0010100,2015,aggravated-assault,NE,14,25
15,NB0010100,2016,aggravated-assault,NE,21,33
16,NB0020000,2009,aggravated-assault,NE,1,1
17,NB0020000,2010,aggravated-assault,NE,1,1
18,NB0020000,2011,aggravated-assault,NE,0,1
19,NB0020000,2012,aggravated-assault,NE,2,2
20,NV0010000,2009,aggravated-assault,NV,15,18
21,NV0010000,2010,aggravated-assault,NV,27,31
22,NV0010000,2011,aggravated-assault,NV,16,17
23,NV0010000,2012,aggravated-assault,NV,17,20
24,NV0010000,2013,aggravated-assault,NV,8,12
25,NV0010000,2014,aggravated-assault,NV,18,18
26,NV0010000,2015,aggravated-assault,NV,17,17
27,NV0010000,2016,aggravated-assault,NV,21,23
28,NV0010100,2009,aggravated-assault,NV,16,25
29,NV0010100,2010,aggravated-assault,NV,16,19
30,NV0010100,2011,aggravated-assault,NV,4,9
31,NV0010100,2012,aggravated-assault,NV,10,16
32,NV0010100,2013,aggravated-assault,NV,13,21
33,NV0010100,2014,aggravated-assault,NV,17,21
34,NV0010100,2015,aggravated-assault,NV,29,29
35,NV0010100,2016,aggravated-assault,NV,19,15
36,NV0020100,2009,aggravated-assault,NV,3608,7735
37,NV0020100,2010,aggravated-assault,NV,3527,7886
38,NV0020100,2011,aggravated-assault,NV,3082,6587
39,NV0020100,2012,aggravated-assault,NV,3199,7102
40,NH0010000,2009,aggravated-assault,NH,0,0
41,NH0010000,2010,aggravated-assault,NH,0,0
42,NH0010000,2011,aggravated-assault,NH,0,0
43,NH0010000,2012,aggravated-assault,NH,0,0
44,NH0010000,2013,aggravated-assault,NH,0,0
45,NH0010000,2014,aggravated-assault,NH,0,0
46,NH0010000,2015,aggravated-assault,NH,0,0
47,NH0010000,2016,aggravated-assault,NH,0,0
48,NH001010X,2009,aggravated-assault,NH,0,0
49,NH001010X,2010,aggravated-assault,NH,0,0
50,NH001010X,2011,aggravated-assault,NH,0,0
51,NH001010X,2012,aggravated-assault,NH,0,0
52,NH001010X,2013,aggravated-assault,NH,0,0
53,NH001010X,2014,aggravated-assault,NH,0,4
54,NH001010X,2015,aggravated-assault,NH,0,0
55,NH001010X,2016,aggravated-assault,NH,0,0
56,NH0010200,2009,aggravated-assault,NH,0,0
57,NH0010200,2010,aggravated-assault,NH,2,2
58,NH0010200,2011,aggravated-assault,NH,6,6
59,NH0010200,2012,aggravated-assault,NH,0,0
60,NJ0010000,2009,aggravated-assault,NJ,0,0
61,NJ0010000,2010,aggravated-assault,NJ,0,0
62,NJ0010000,2011,aggravated-assault,NJ,0,0
63,NJ0010000,2012,aggravated-assault,NJ,0,0
64,NJ0010000,2013,aggravated-assault,NJ,0,0
65,NJ0010000,2014,aggravated-assault,NJ,0,0
66,NJ0010000,2015,aggravated-assault,NJ,0,0
67,NJ0010000,2016,aggravated-assault,NJ,0,0
68,NJ0010100,2009,aggravated-assault,NJ,2,12
69,NJ0010100,2010,aggravated-assault,NJ,6,6
70,NJ0010100,2011,aggravated-assault,NJ,4,9
71,NJ0010100,2012,aggravated-assault,NJ,4,13
72,NJ0010100,2013,aggravated-assault,NJ,0,15
73,NJ0010100,2014,aggravated-assault,NJ,9,15
74,NJ0010100,2015,aggravated-assault,NJ,0,0
75,NJ0010100,2016,aggravated-assault,NJ,6,6
76,NJ0010200,2009,aggravated-assault,NJ,161,379
77,NJ0010200,2010,aggravated-assault,NJ,175,311
78,NJ0010200,2011,aggravated-assault,NJ,207,322
79,NJ0010200,2012,aggravated-assault,NJ,128,323
80,NM0010000,2009,aggravated-assault,NM,392,673
81,NM0010000,2010,aggravated-assault,NM,402,650
82,NM0010000,2011,aggravated-assault,NM,399,647
